"flag",,,,"content",,,,
"$ENTRY_JOURNAL_INDEX_TITLE",,,,"СОДЕРЖАНИЕ",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_00",,,,"Записи в журнале",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_10",,,,"День 1: @Где я?@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_20",,,,"Ночь 1: @<berserker_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_30",,,,"День 3: @Дополнение@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_40",,,,"Ночь 3: @Дополнение@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_50",,,,"День 3: @Тюрьма@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_60",,,,"День 4: @Промежуточный мир@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_70",,,,"День 5: @<ranger_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_80",,,,"День 8: @Дополнение@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_90",,,,"Ночь 7: @Сожжение Карска@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_100",,,,"День 8: @Лаксос@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_110",,,,"День 9: @<mcguffin_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_120",,,,"День 10: @Смерть Озимала@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_130",,,,"Ночь 10: @Монастырь@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_140",,,,"День 11: @<healer_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_150",,,,"День 13: @<mage_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_160",,,,"День 14: @Кочевники@",,,,
"$ENTRY_JOURNAL_INDEX_LEFT_170",,,,"День 15: @Странный сон@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_00",,,,"День 17: @Сокровище пустыни@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_10",,,,"День 18: @<knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_20",,,,"День 19: @Письмо от <knight_hero>@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_30",,,,"Ночь 19: @Мой ответ: Черновик 1@",,,,
"$ENTRY_JOURNAL_INDEX_RIGHT_40",,,,"День 20: @Ответ от <knight_hero_pos>@",,,,
