flag	name	description
$ITEM_SWORD	<RE>$ITM_W_SWORD
$ITEM_BOW	<RE>$ITM_W_BOW
$ITEM_STAFF	<RE>$ITM_W_STAFF
$ITEM_LIGHT	<RE>$ITM_A_LIGHT
$ITEM_HEAVY	<RE>$ITM_A_HEAVY
$ITEM_BOOK	<RE>$ITM_ACC_BOOK
$ITEM_WEAPON	Weapon
$ITEM_ARMOR	Armor
$ITM_ACC_BOOK	book	<NULL>
$ITM_ACC_BOOK_PLURAL	books	<NULL>
$ITM_ACC_BOOK_PLURAL_SHORT	books	<NULL>
$ITM_A_LIGHT	light armor	<NULL>
$ITM_A_LIGHT_PLURAL	light armor	<NULL>
$ITM_A_HEAVY	heavy armor	<NULL>
$ITM_A_HEAVY_PLURAL	heavy armor	<NULL>
$ITM_W_SWORD	sword	<NULL>
$ITM_W_SWORD_PLURAL	swords	<NULL>
$ITM_W_BOW	bow	<NULL>
$ITM_W_BOW_PLURAL	bows	<NULL>
$ITM_W_STAFF	staff	<NULL>
$ITM_W_STAFF_PLURAL	staffs	<NULL>
$ITM_A_LIGHT_PLURAL_SHORT	light	<NULL>
$ITM_A_HEAVY_PLURAL_SHORT	heavy	<NULL>
$ITM_W_SWORD_PLURAL_SHORT	swords	<NULL>
$ITM_W_STAFF_PLURAL_SHORT	staffs	<NULL>
$ITM_W_BOW_PLURAL_SHORT	bows	<NULL>
