flag	name
$FLAV_DAMAGE	Damage
$FLAV_FRENZY	Frenzy
$FLAV_FIRE	Fire
$FLAV_BURN	Burn
$FLAV_POISON	Poison
$FLAV_EVER_POISON	Ever-poison
$FLAV_WOUND	Wound
$FLAV_BLEED	Bleed
$FLAV_EVER_BLEED	Ever-bleed
$FLAV_BLINDED	Blind
$FLAV_CONFUSED	Confuse
$FLAV_DISEASE	Disease
$FLAV_PSI_BURN	Psi-Burn
$FLAV_INSPIRE	Inspire
$FLAV_INSPIRED_HIT	Inspired Hit
$FLAV_STUN	Stun
$FLAV_SINGLE_STUN	Single Stun
$FLAV_CHILL	Chill
$FLAV_SLOW	Slow
$FLAV_FREEZE	Freeze
$FLAV_LIGHT	Light
$FLAV_AREA	Area
$FLAV_DARK	Dark
$FLAV_GROW_ARMOR	Grow armor
$FLAV_PHASED	Phased
$FLAV_MAGIC	Magic
$FLAV_PHYSICAL	Physical
$FLAV_PHYSICAL-RANGED	Physical-Ranged
$FLAV_MELEE	Melee
$FLAV_RANGED	Ranged
$FLAV_UNDODGEABLE	Un-dodgeable
$FLAV_REDUCE_HEALTH	Decimate
$FLAV_ARMOR_PIERCE	Armor pierce
$FLAV_ARMOR_IGNORE	Armor ignore
$FLAV_ARMOR_BREAK	Armor break
$FLAV_CRITICAL	Critical
$FLAV_KNOCKBACK	Knock back
$FLAV_KNOCK_BACK	Knock back
$FLAV_AUTOKILL	Autokill
$FLAV_DEVOUR	Devour
$FLAV_STRIKE_THROUGH	Strike-through
$FLAV_DE_INVINCIBLE	De-invincible
$FLAV_DELAY_DAMAGE	Delay damage
$FLAV_ANONYMOUS	Anonymous
$FLAV_TROLL	Current Status: TROLLOLOLOL
$FLAV_FB_HAPPY	Current Status: Happy!
$FLAV_FB_SAD	Current Status: Sad.
$FLAV_FB_LOL	Current Status: LOL!
$FLAV_FB_OMG	Current Status: OMG!
$FLAV_FB_EXISTENTIAL	Current Status: Existential.
$FLAV_FB_BORED	Current Status: Bored.
$FLAV_PHYSICAL	Physical
$FLAV_MAGIC	Magic
$FLAV_RANGED	Ranged
$FLAV_PHYSICAL_RANGED	Physical-Ranged
$FLAV_PSI_SHIELD	Psi Shield
$FLAV_AREA	Area
$FLAV_BOSS	Boss
